	ID	original_filename	Dataset	Organism	Technique	Target Element	Assay Factor	Conditions	PI	Tissue	region_type	basename	genotype	replicate	new_filename
977	5081	5081_repset.17402385.enrichment.clusters.gff3.enriched.gff.gz	H3;Oregon-R;Tissue:Heads-OR:GK:1;Mixed Adult;Heads OR;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3	Mixed Adult	Karpen, G.	Adult	enriched	5081_repset.17402385.enrichment.clusters.gff3	wt	0	H3_wt_Adult_Histone-Modification_0_enriched_5081
978	5081	5081_2189.enrichment.clusters.gff3.enriched.gff.gz	H3;Oregon-R;Tissue:Heads-OR:GK:1;Mixed Adult;Heads OR;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3	Mixed Adult	Karpen, G.	Adult	enriched	5081_2189.enrichment.clusters.gff3	wt	1	H3_wt_Adult_Histone-Modification_1_enriched_5081
979	5081	5081_2190.enrichment.clusters.gff3.enriched.gff.gz	H3;Oregon-R;Tissue:Heads-OR:GK:1;Mixed Adult;Heads OR;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3	Mixed Adult	Karpen, G.	Adult	enriched	5081_2190.enrichment.clusters.gff3	wt	2	H3_wt_Adult_Histone-Modification_2_enriched_5081
980	5262	5262_2516.enrichment.clusters.gff3.enriched.gff.gz	H4K8ac;Oregon-R;Larvae 3rd instar;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H4K8ac	Larvae 3rd instar	Karpen, G.	Larvae	enriched	5262_2516.enrichment.clusters.gff3	wt	0	H4K8ac_wt_Larvae_Histone-Modification_0_enriched_5262
981	5262	5262_2517.enrichment.clusters.gff3.enriched.gff.gz	H4K8ac;Oregon-R;Larvae 3rd instar;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H4K8ac	Larvae 3rd instar	Karpen, G.	Larvae	enriched	5262_2517.enrichment.clusters.gff3	wt	1	H4K8ac_wt_Larvae_Histone-Modification_1_enriched_5262
982	5262	5262_repset.18482641.enrichment.clusters.gff3.enriched.gff.gz	H4K8ac;Oregon-R;Larvae 3rd instar;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H4K8ac	Larvae 3rd instar	Karpen, G.	Larvae	enriched	5262_repset.18482641.enrichment.clusters.gff3	wt	2	H4K8ac_wt_Larvae_Histone-Modification_2_enriched_5262
983	3011	3011_repset.9274430.smoothedM.clusters.gff3.enriched.gff.gz	H3K9me2;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K9me2	Late Embryonic stage	Karpen, G.	S2	enriched	3011_repset.9274430.smoothedM.clusters.gff3	wt	0	H3K9me2_wt_S2_Histone-Modification_0_enriched_3011
984	3011	3011_repset.9274430.smoothedM.clusters.gff3.depleted.gff.gz	H3K9me2;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K9me2	Late Embryonic stage	Karpen, G.	S2	depleted	3011_repset.9274430.smoothedM.clusters.gff3	wt	0	H3K9me2_wt_S2_Histone-Modification_0_depleted_3011
985	3392	3392_E16-24h_HP1_Covance_peaks.bed.gff.gz	HP1;Embryos 16-24 hr;ChIP-seq	D. melanogaster	ChIP-seq	Transcriptional Factor	HP1	Embryos 16-24 hr	White, K.	Embryo	enriched	3392_E16-24h_HP1_Covance_peaks.bed.gff.gz	wt	0	HP1_wt_Embryo_Transcriptional-Factor_0_enriched_3392
986	2666	2666_repset.4620428.smoothedM.clusters.gff3.enriched.gff.gz	HP1a;ML-DmBG3-c2;Larvae 3rd instar;CNS-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	HP1a	Larvae 3rd instar	Karpen, G.	ML-DmBG3	enriched	2666_repset.4620428.smoothedM.clusters.gff3	wt	0	HP1a_wt_ML-DmBG3_Non-TF-Chromatin-binding-factor_0_enriched_2666
987	2666	2666_repset.4620428.smoothedM.clusters.gff3.depleted.gff.gz	HP1a;ML-DmBG3-c2;Larvae 3rd instar;CNS-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	HP1a	Larvae 3rd instar	Karpen, G.	ML-DmBG3	depleted	2666_repset.4620428.smoothedM.clusters.gff3	wt	0	HP1a_wt_ML-DmBG3_Non-TF-Chromatin-binding-factor_0_depleted_2666
988	3943	3943_repset.16025463.smoothedM.clusters.gff3.enriched.gff.gz	H3K27me1;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K27me1	Late Embryonic stage	Karpen, G.	S2	enriched	3943_repset.16025463.smoothedM.clusters.gff3	wt	0	H3K27me1_wt_S2_Histone-Modification_0_enriched_3943
989	3943	3943_repset.16025463.smoothedM.clusters.gff3.depleted.gff.gz	H3K27me1;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K27me1	Late Embryonic stage	Karpen, G.	S2	depleted	3943_repset.16025463.smoothedM.clusters.gff3	wt	0	H3K27me1_wt_S2_Histone-Modification_0_depleted_3943
990	2639	2639_S2_CTCF500_peaks.bed.gff3.gz	CTCF;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-seq	D. melanogaster	ChIP-seq	Non TF Chromatin binding factor	CTCF	Late Embryonic stage	White, K.	S2	enriched	2639_S2_CTCF500_peaks.bed.gff3.gz	wt	0	CTCF_wt_S2_Non-TF-Chromatin-binding-factor_0_enriched_2639
991	2673	2673_repset.4620686.smoothedM.clusters.gff3.enriched.gff.gz	Su(var)3-9;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	Su(var)3-9	Late Embryonic stage	Karpen, G.	S2	enriched	2673_repset.4620686.smoothedM.clusters.gff3	wt	0	Su(var)3-9_wt_S2_Non-TF-Chromatin-binding-factor_0_enriched_2673
992	2673	2673_repset.4620686.smoothedM.clusters.gff3.depleted.gff.gz	Su(var)3-9;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	Su(var)3-9	Late Embryonic stage	Karpen, G.	S2	depleted	2673_repset.4620686.smoothedM.clusters.gff3	wt	0	Su(var)3-9_wt_S2_Non-TF-Chromatin-binding-factor_0_depleted_2673
993	866	866_E8-12_H3K9Me3_agilent_dmel3_merged_dcc.gff.gz	H3K9me3;Embryos 8-12 hr;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K9me3	Embryos 8-12 hr	White, K.	Embryo	enriched	866_E8-12_H3K9Me3_agilent_dmel3_merged_dcc.gff.gz	wt	0	H3K9me3_wt_Embryo_Histone-Modification_0_enriched_866
994	3013	3013_repset.9276739.smoothedM.clusters.gff3.enriched.gff.gz	H3K9me3;Kc167;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K9me3	Late Embryonic stage	Karpen, G.	Kc	enriched	3013_repset.9276739.smoothedM.clusters.gff3	wt	0	H3K9me3_wt_Kc_Histone-Modification_0_enriched_3013
995	3013	3013_repset.9276739.smoothedM.clusters.gff3.depleted.gff.gz	H3K9me3;Kc167;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K9me3	Late Embryonic stage	Karpen, G.	Kc	depleted	3013_repset.9276739.smoothedM.clusters.gff3	wt	0	H3K9me3_wt_Kc_Histone-Modification_0_depleted_3013
996	3030	3030_repset.9700973.smoothedM.clusters.gff3.depleted.gff.gz	ISWI;ML-DmBG3-c2;Larvae 3rd instar;CNS-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	ISWI	Larvae 3rd instar	Karpen, G.	ML-DmBG3	depleted	3030_repset.9700973.smoothedM.clusters.gff3	wt	0	ISWI_wt_ML-DmBG3_Non-TF-Chromatin-binding-factor_0_depleted_3030
997	3030	3030_repset.9700973.smoothedM.clusters.gff3.enriched.gff.gz	ISWI;ML-DmBG3-c2;Larvae 3rd instar;CNS-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	ISWI	Larvae 3rd instar	Karpen, G.	ML-DmBG3	enriched	3030_repset.9700973.smoothedM.clusters.gff3	wt	0	ISWI_wt_ML-DmBG3_Non-TF-Chromatin-binding-factor_0_enriched_3030
998	799	799_AdultFemale_H3K4Me3_Input_tag36_mfold4_250_peaks_1fdr_filtered.bed.gff3.gz	H3K4me3;Y cn bw sp;Adult Female;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K4me3	Adult Female	White, K.	Adult	enriched	799_AdultFemale_H3K4Me3_Input_tag36_mfold4_250_peaks_1fdr_filtered.bed.gff3.gz	wt	0	H3K4me3_wt_Adult_Histone-Modification_0_enriched_799
999	3286	3286_repset.9703026.smoothedM.clusters.gff3.enriched.gff.gz	H4K20me1;ML-DmBG3-c2;Larvae 3rd instar;CNS-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H4K20me1	Larvae 3rd instar	Karpen, G.	ML-DmBG3	enriched	3286_repset.9703026.smoothedM.clusters.gff3	wt	0	H4K20me1_wt_ML-DmBG3_Histone-Modification_0_enriched_3286
1000	3286	3286_repset.9703026.smoothedM.clusters.gff3.depleted.gff.gz	H4K20me1;ML-DmBG3-c2;Larvae 3rd instar;CNS-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H4K20me1	Larvae 3rd instar	Karpen, G.	ML-DmBG3	depleted	3286_repset.9703026.smoothedM.clusters.gff3	wt	0	H4K20me1_wt_ML-DmBG3_Histone-Modification_0_depleted_3286
1001	5597	5597_2500.enrichment.clusters.gff3.enriched.gff.gz	LSD1;Oregon-R;Larvae 3rd instar;ChIP-seq	D. melanogaster	ChIP-seq	Non TF Chromatin binding factor	LSD1	Larvae 3rd instar	Karpen, G.	Larvae	enriched	5597_2500.enrichment.clusters.gff3	wt	0	LSD1_wt_Larvae_Non-TF-Chromatin-binding-factor_0_enriched_5597
1002	5597	5597_repset.18972710.enrichment.clusters.gff3.enriched.gff.gz	LSD1;Oregon-R;Larvae 3rd instar;ChIP-seq	D. melanogaster	ChIP-seq	Non TF Chromatin binding factor	LSD1	Larvae 3rd instar	Karpen, G.	Larvae	enriched	5597_repset.18972710.enrichment.clusters.gff3	wt	1	LSD1_wt_Larvae_Non-TF-Chromatin-binding-factor_1_enriched_5597
1003	5597	5597_repset.18972710.enrichment.clusters.gff3.depleted.gff.gz	LSD1;Oregon-R;Larvae 3rd instar;ChIP-seq	D. melanogaster	ChIP-seq	Non TF Chromatin binding factor	LSD1	Larvae 3rd instar	Karpen, G.	Larvae	depleted	5597_repset.18972710.enrichment.clusters.gff3	wt	1	LSD1_wt_Larvae_Non-TF-Chromatin-binding-factor_1_depleted_5597
1004	5597	5597_2499.enrichment.clusters.gff3.enriched.gff.gz	LSD1;Oregon-R;Larvae 3rd instar;ChIP-seq	D. melanogaster	ChIP-seq	Non TF Chromatin binding factor	LSD1	Larvae 3rd instar	Karpen, G.	Larvae	enriched	5597_2499.enrichment.clusters.gff3	wt	2	LSD1_wt_Larvae_Non-TF-Chromatin-binding-factor_2_enriched_5597
1005	785	785_L3_H3K4Me1_Input_tag36_mfold4_250_peaks_1fdr_filtered.bed.gff3.gz	H3K4me1;Y cn bw sp;Larvae L3 stage;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K4me1	Larvae L3 stage	White, K.	Larvae	enriched	785_L3_H3K4Me1_Input_tag36_mfold4_250_peaks_1fdr_filtered.bed.gff3.gz	wt	0	H3K4me1_wt_Larvae_Histone-Modification_0_enriched_785
1006	3697	3697_repset.4161799.smoothedM.clusters.gff3.depleted.gff.gz	H4K16ac;Oregon-R;Embryos 14-16 hr OR;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H4K16ac	Embryos 14-16 hr OR	Karpen, G.	Embryo	depleted	3697_repset.4161799.smoothedM.clusters.gff3	wt	0	H4K16ac_wt_Embryo_Histone-Modification_0_depleted_3697
1007	3697	3697_repset.4161799.smoothedM.clusters.gff3.enriched.gff.gz	H4K16ac;Oregon-R;Embryos 14-16 hr OR;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H4K16ac	Embryos 14-16 hr OR	Karpen, G.	Embryo	enriched	3697_repset.4161799.smoothedM.clusters.gff3	wt	0	H4K16ac_wt_Embryo_Histone-Modification_0_enriched_3697
1008	3672	3672_repset.9274433.smoothedM.clusters.gff3.depleted.gff.gz	CTCF;CG8591-RNAi;ML-DmBG3-c2;Larvae 3rd instar;CNS-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	CTCF	Larvae 3rd instar	Karpen, G.	ML-DmBG3	depleted	3672_repset.9274433.smoothedM.clusters.gff3	wt	0	CTCF_wt_ML-DmBG3_Non-TF-Chromatin-binding-factor_0_depleted_3672
1009	3672	3672_repset.9274433.smoothedM.clusters.gff3.enriched.gff.gz	CTCF;CG8591-RNAi;ML-DmBG3-c2;Larvae 3rd instar;CNS-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	CTCF	Larvae 3rd instar	Karpen, G.	ML-DmBG3	enriched	3672_repset.9274433.smoothedM.clusters.gff3	wt	0	CTCF_wt_ML-DmBG3_Non-TF-Chromatin-binding-factor_0_enriched_3672
1010	3770	3770_repset.3506201.smoothedM.clusters.gff3.enriched.gff.gz	H3K9me1;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K9me1	Late Embryonic stage	Karpen, G.	S2	enriched	3770_repset.3506201.smoothedM.clusters.gff3	wt	0	H3K9me1_wt_S2_Histone-Modification_0_enriched_3770
1011	3770	3770_repset.3506201.smoothedM.clusters.gff3.depleted.gff.gz	H3K9me1;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K9me1	Late Embryonic stage	Karpen, G.	S2	depleted	3770_repset.3506201.smoothedM.clusters.gff3	wt	0	H3K9me1_wt_S2_Histone-Modification_0_depleted_3770
1012	5609	5609_repset.17399958.smoothedM.clusters.gff3.depleted.gff.gz	H3K9me3;Sexed Female Jil mutant;Larvae 3rd instar Sexed Female;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K9me3	Larvae 3rd instar Sexed Female	Karpen, G.	Larvae	depleted	5609_repset.17399958.smoothedM.clusters.gff3	Sexed Female Jil mutant	0	H3K9me3_Sexed-Female-Jil-mutant_Larvae_Histone-Modification_0_depleted_5609
1013	5609	5609_repset.17399958.smoothedM.clusters.gff3.enriched.gff.gz	H3K9me3;Sexed Female Jil mutant;Larvae 3rd instar Sexed Female;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K9me3	Larvae 3rd instar Sexed Female	Karpen, G.	Larvae	enriched	5609_repset.17399958.smoothedM.clusters.gff3	Sexed Female Jil mutant	0	H3K9me3_Sexed-Female-Jil-mutant_Larvae_Histone-Modification_0_enriched_5609
1014	288	288_repset.4620886.smoothedM.clusters.gff3.enriched.gff.gz	H2Bubi;ML-DmBG3-c2;Larvae 3rd instar;CNS-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H2Bubi	Larvae 3rd instar	Karpen, G.	ML-DmBG3	enriched	288_repset.4620886.smoothedM.clusters.gff3	wt	0	H2Bubi_wt_ML-DmBG3_Histone-Modification_0_enriched_288
1015	288	288_repset.4620886.smoothedM.clusters.gff3.depleted.gff.gz	H2Bubi;ML-DmBG3-c2;Larvae 3rd instar;CNS-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H2Bubi	Larvae 3rd instar	Karpen, G.	ML-DmBG3	depleted	288_repset.4620886.smoothedM.clusters.gff3	wt	0	H2Bubi_wt_ML-DmBG3_Histone-Modification_0_depleted_288
1016	3751	3751_repset.9273388.smoothedM.clusters.gff3.depleted.gff.gz	dSFMBT;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	dSFMBT	Late Embryonic stage	Karpen, G.	S2	depleted	3751_repset.9273388.smoothedM.clusters.gff3	wt	0	dSFMBT_wt_S2_Non-TF-Chromatin-binding-factor_0_depleted_3751
1017	3751	3751_repset.9273388.smoothedM.clusters.gff3.enriched.gff.gz	dSFMBT;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	dSFMBT	Late Embryonic stage	Karpen, G.	S2	enriched	3751_repset.9273388.smoothedM.clusters.gff3	wt	0	dSFMBT_wt_S2_Non-TF-Chromatin-binding-factor_0_enriched_3751
1018	889	889_L3_8wg16_agilent_dmel3_merged_dcc.gff.gz	RNA polymerase II;Larvae L3 stage;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	RNA polymerase II	Larvae L3 stage	White, K.	Larvae	enriched	889_L3_8wg16_agilent_dmel3_merged_dcc.gff.gz	wt	0	RNA-polymerase-II_wt_Larvae_Non-TF-Chromatin-binding-factor_0_enriched_889
1019	979	979_GFP_sens-E-4-8h_pvalue_Dm_BDGPv5.bed.gff.gz	senseless;SENS-GFP;Embryos 4-8 hr;ChIP-chip	D. melanogaster	ChIP-chip	Transcriptional Factor	senseless	Embryos 4-8 hr	White, K.	Embryo	enriched	979_GFP_sens-E-4-8h_pvalue_Dm_BDGPv5.bed.gff.gz	wt	0	senseless_wt_Embryo_Transcriptional-Factor_0_enriched_979
1020	956	956_repset.4161959.smoothedM.clusters.gff3.enriched.gff.gz	H3K9me2;Oregon-R;Larvae 3rd instar;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K9me2	Larvae 3rd instar	Karpen, G.	Larvae	enriched	956_repset.4161959.smoothedM.clusters.gff3	wt	0	H3K9me2_wt_Larvae_Histone-Modification_0_enriched_956
1021	956	956_repset.4161959.smoothedM.clusters.gff3.depleted.gff.gz	H3K9me2;Oregon-R;Larvae 3rd instar;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K9me2	Larvae 3rd instar	Karpen, G.	Larvae	depleted	956_repset.4161959.smoothedM.clusters.gff3	wt	0	H3K9me2_wt_Larvae_Histone-Modification_0_depleted_956
1022	3799	3799_repset.14517069.smoothedM.clusters.gff3.depleted.gff.gz	RNA polymerase II;Oregon-R;Larvae 3rd instar;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	RNA polymerase II	Larvae 3rd instar	Karpen, G.	Larvae	depleted	3799_repset.14517069.smoothedM.clusters.gff3	wt	0	RNA-polymerase-II_wt_Larvae_Non-TF-Chromatin-binding-factor_0_depleted_3799
1023	3799	3799_repset.14517069.smoothedM.clusters.gff3.enriched.gff.gz	RNA polymerase II;Oregon-R;Larvae 3rd instar;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	RNA polymerase II	Larvae 3rd instar	Karpen, G.	Larvae	enriched	3799_repset.14517069.smoothedM.clusters.gff3	wt	0	RNA-polymerase-II_wt_Larvae_Non-TF-Chromatin-binding-factor_0_enriched_3799
1024	953	953_repset.8061128.smoothedM.clusters.gff3.enriched.gff.gz	WDS;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	WDS	Late Embryonic stage	Karpen, G.	S2	enriched	953_repset.8061128.smoothedM.clusters.gff3	wt	0	WDS_wt_S2_Non-TF-Chromatin-binding-factor_0_enriched_953
1025	953	953_repset.8061128.smoothedM.clusters.gff3.depleted.gff.gz	WDS;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	WDS	Late Embryonic stage	Karpen, G.	S2	depleted	953_repset.8061128.smoothedM.clusters.gff3	wt	0	WDS_wt_S2_Non-TF-Chromatin-binding-factor_0_depleted_953
1026	854	854_E0-4_CBP_density.bed.gff3.gz	nejire;103.1;Y cn bw sp;Embryos 0-4 hr;ChIP-seq	D. melanogaster	ChIP-seq	Transcriptional Factor	nejire	Embryos 0-4 hr	White, K.	Embryo	enriched	854_E0-4_CBP_density.bed.gff3.gz	wt	0	nejire_wt_Embryo_Transcriptional-Factor_0_enriched_854
1027	786	786_Pupae_H3K4Me1_Input_tag36_mfold4_250_peaks_1fdr_filtered.bed.gff3.gz	H3K4me1;Y cn bw sp;Pupae;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K4me1	Pupae	White, K.	Pupae	enriched	786_Pupae_H3K4Me1_Input_tag36_mfold4_250_peaks_1fdr_filtered.bed.gff3.gz	wt	0	H3K4me1_wt_Pupae_Histone-Modification_0_enriched_786
1028	812	812_E8-12_H3K27Me3.merged.bed.wig.final.bed.trim.bed.significant.bed.gff3.gz	H3K27me3;Y cn bw sp;Embryos 8-12 hr;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K27me3	Embryos 8-12 hr	White, K.	Embryo	enriched	812_E8-12_H3K27Me3.merged.bed.wig.final.bed.trim.bed.significant.bed.gff3.gz	wt	0	H3K27me3_wt_Embryo_Histone-Modification_0_enriched_812
1029	23	23_GAF_1fdr.gff.gz	GAF;Embryos 0-12 hr;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	GAF	Embryos 0-12 hr	White, K.	Embryo	enriched	23_GAF_1fdr.gff.gz	wt	0	GAF_wt_Embryo_Non-TF-Chromatin-binding-factor_0_enriched_23
1030	3036	3036_repset.9699509.smoothedM.clusters.gff3.depleted.gff.gz	JIL-1;CME-W1-Cl.8+;Larvae 3rd instar;Dorsal mesothoracic disc;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	JIL-1	Larvae 3rd instar	Karpen, G.	CME-W1-Cl.8+	depleted	3036_repset.9699509.smoothedM.clusters.gff3	wt	0	JIL-1_wt_CME-W1-Cl.8+_Non-TF-Chromatin-binding-factor_0_depleted_3036
1031	3036	3036_repset.9699509.smoothedM.clusters.gff3.enriched.gff.gz	JIL-1;CME-W1-Cl.8+;Larvae 3rd instar;Dorsal mesothoracic disc;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	JIL-1	Larvae 3rd instar	Karpen, G.	CME-W1-Cl.8+	enriched	3036_repset.9699509.smoothedM.clusters.gff3	wt	0	JIL-1_wt_CME-W1-Cl.8+_Non-TF-Chromatin-binding-factor_0_enriched_3036
1032	931	931_repset.4161794.smoothedM.clusters.gff3.enriched.gff.gz	H3K36me3;Oregon-R;Embryos 14-16 hr OR;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K36me3	Embryos 14-16 hr OR	Karpen, G.	Embryo	enriched	931_repset.4161794.smoothedM.clusters.gff3	wt	0	H3K36me3_wt_Embryo_Histone-Modification_0_enriched_931
1033	931	931_repset.4161794.smoothedM.clusters.gff3.depleted.gff.gz	H3K36me3;Oregon-R;Embryos 14-16 hr OR;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K36me3	Embryos 14-16 hr OR	Karpen, G.	Embryo	depleted	931_repset.4161794.smoothedM.clusters.gff3	wt	0	H3K36me3_wt_Embryo_Histone-Modification_0_depleted_931
1034	5089	5089_2342.enrichment.clusters.gff3.enriched.gff.gz	H3K27me3;Oregon-R;Larvae 3rd instar;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K27me3	Larvae 3rd instar	Karpen, G.	Larvae	enriched	5089_2342.enrichment.clusters.gff3	wt	0	H3K27me3_wt_Larvae_Histone-Modification_0_enriched_5089
1035	5089	5089_repset.18481747.enrichment.clusters.gff3.enriched.gff.gz	H3K27me3;Oregon-R;Larvae 3rd instar;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K27me3	Larvae 3rd instar	Karpen, G.	Larvae	enriched	5089_repset.18481747.enrichment.clusters.gff3	wt	1	H3K27me3_wt_Larvae_Histone-Modification_1_enriched_5089
1036	5089	5089_2343.enrichment.clusters.gff3.enriched.gff.gz	H3K27me3;Oregon-R;Larvae 3rd instar;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K27me3	Larvae 3rd instar	Karpen, G.	Larvae	enriched	5089_2343.enrichment.clusters.gff3	wt	2	H3K27me3_wt_Larvae_Histone-Modification_2_enriched_5089
1037	4950	4950_repset.18153510.enrichment.clusters.gff3.enriched.gff.gz	H3K36me3;Oregon-R;Embryos 14-16 hr OR;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K36me3	Embryos 14-16 hr OR	Karpen, G.	Embryo	enriched	4950_repset.18153510.enrichment.clusters.gff3	wt	0	H3K36me3_wt_Embryo_Histone-Modification_0_enriched_4950
1038	4950	4950_1709.enrichment.clusters.gff3.enriched.gff.gz	H3K36me3;Oregon-R;Embryos 14-16 hr OR;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K36me3	Embryos 14-16 hr OR	Karpen, G.	Embryo	enriched	4950_1709.enrichment.clusters.gff3	wt	1	H3K36me3_wt_Embryo_Histone-Modification_1_enriched_4950
1039	4950	4950_1719.enrichment.clusters.gff3.enriched.gff.gz	H3K36me3;Oregon-R;Embryos 14-16 hr OR;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K36me3	Embryos 14-16 hr OR	Karpen, G.	Embryo	enriched	4950_1719.enrichment.clusters.gff3	wt	2	H3K36me3_wt_Embryo_Histone-Modification_2_enriched_4950
1040	320	320_repset.3833941.smoothedM.clusters.gff3.enriched.gff.gz	H4K16ac;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H4K16ac	Late Embryonic stage	Karpen, G.	S2	enriched	320_repset.3833941.smoothedM.clusters.gff3	wt	0	H4K16ac_wt_S2_Histone-Modification_0_enriched_320
1041	320	320_repset.3833941.smoothedM.clusters.gff3.depleted.gff.gz	H4K16ac;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H4K16ac	Late Embryonic stage	Karpen, G.	S2	depleted	320_repset.3833941.smoothedM.clusters.gff3	wt	0	H4K16ac_wt_S2_Histone-Modification_0_depleted_320
1042	932	932_repset.4161797.smoothedM.clusters.gff3.depleted.gff.gz	H3K36me3;Oregon-R;Embryos 2-4 hr OR;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K36me3	Embryos 2-4 hr OR	Karpen, G.	Embryo	depleted	932_repset.4161797.smoothedM.clusters.gff3	wt	0	H3K36me3_wt_Embryo_Histone-Modification_0_depleted_932
1043	932	932_repset.4161797.smoothedM.clusters.gff3.enriched.gff.gz	H3K36me3;Oregon-R;Embryos 2-4 hr OR;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K36me3	Embryos 2-4 hr OR	Karpen, G.	Embryo	enriched	932_repset.4161797.smoothedM.clusters.gff3	wt	0	H3K36me3_wt_Embryo_Histone-Modification_0_enriched_932
1044	5620	5620_repset.16024308.smoothedM.clusters.gff3.enriched.gff.gz	H4K16ac;Sexed male Jil mutant;Larvae 3rd instar Sexed Male;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H4K16ac	Larvae 3rd instar Sexed Male	Karpen, G.	Larvae	enriched	5620_repset.16024308.smoothedM.clusters.gff3	Sexed male Jil mutant	0	H4K16ac_Sexed-male-Jil-mutant_Larvae_Histone-Modification_0_enriched_5620
