Dataset	Organism	Technique	Target Element	Assay Factor	Conditions	PI	ID
H3K27me3;Y cn bw sp;Embryos 12-16 hr;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K27me3	Embryos 12-16 hr	White, K.	813
H3K27me3;Y cn bw sp;Embryos 16-20 hr;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K27me3	Embryos 16-20 hr	White, K.	814
H3K27me3;Y cn bw sp;Embryos 20-24 hr;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K27me3	Embryos 20-24 hr	White, K.	815
H3K27me3;Y cn bw sp;Embryos 4-8 hr;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K27me3	Embryos 4-8 hr	White, K.	811
H3K27me3;Y cn bw sp;Embryos 8-12 hr;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K27me3	Embryos 8-12 hr	White, K.	812
H3K27me3;Y cn bw sp;Larvae L1 stage;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K27me3	Larvae L1 stage	White, K.	816
H3K27me3;Y cn bw sp;Larvae L2 stage;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K27me3	Larvae L2 stage	White, K.	817
H3K27me3;Y cn bw sp;Larvae L3 stage;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K27me3	Larvae L3 stage	White, K.	818
H3K27me3;Y cn bw sp;Pupae;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K27me3	Pupae	White, K.	819
H3K36me1;CME-W1-Cl.8+;Larvae 3rd instar;Dorsal mesothoracic disc;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K36me1	Larvae 3rd instar	Karpen, G.	3002
H3K36me1;Kc167;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K36me1	Late Embryonic stage	Karpen, G.	3003
H3K36me1;ML-DmBG3-c2;Larvae 3rd instar;CNS-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K36me1	Larvae 3rd instar	Karpen, G.	299
H3K36me1;Oregon-R;Embryos 14-16 hr OR;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K36me1	Embryos 14-16 hr OR	Karpen, G.	4196
H3K36me1;Oregon-R;Embryos 2-4 hr OR;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K36me1	Embryos 2-4 hr OR	Karpen, G.	3001
H3K36me1;Oregon-R;Larvae 3rd instar;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K36me1	Larvae 3rd instar	Karpen, G.	4942
H3K36me1;Oregon-R;Tissue:Heads-OR:GK:1;Mixed Adult;Heads OR;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K36me1	Mixed Adult	Karpen, G.	5090
H3K36me1;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K36me1	Late Embryonic stage	Karpen, G.	3170
H3K36me2;ML-DmBG3-c2;Larvae 3rd instar;CNS-derived cell-line;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K36me2	Larvae 3rd instar	Karpen, G.	6389
H3K36me2;Oregon-R;Embryos 14-16 hr OR;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K36me2	Embryos 14-16 hr OR	Karpen, G.	6388
H3K36me2;Oregon-R;Tissue:Heads-OR:GK:1;Mixed Adult;Heads OR;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K36me2	Mixed Adult	Karpen, G.	6390
H3K36me3;CME-W1-Cl.8+;Larvae 3rd instar;Dorsal mesothoracic disc;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K36me3	Larvae 3rd instar	Karpen, G.	3004
H3K36me3;EGG mutant;Larvae 3rd instar;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K36me3	Larvae 3rd instar	Karpen, G.	3684
H3K36me3;Embryos 0-12 hr;Embryo;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K36me3	Embryos 0-12 hr	White, K.	620
H3K36me3;G9a mutant ;Larvae 3rd instar;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K36me3	Larvae 3rd instar	Karpen, G.	5615
H3K36me3;HP1a mutant;Larvae 3rd instar;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K36me3	Larvae 3rd instar	Karpen, G.	3759
H3K36me3;HP1b mutant;Larvae 3rd instar;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K36me3	Larvae 3rd instar	Karpen, G.	5605
H3K36me3;HP1c mutant;Larvae 3rd instar;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K36me3	Larvae 3rd instar	Karpen, G.	3685
H3K36me3;Kc167;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K36me3	Late Embryonic stage	Karpen, G.	302
H3K36me3;ML-DmBG3-c2;Larvae 3rd instar;CNS-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K36me3	Larvae 3rd instar	Karpen, G.	301
H3K36me3;Oregon-R;Embryos 14-16 hr OR;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K36me3	Embryos 14-16 hr OR	Karpen, G.	931
H3K36me3;Oregon-R;Embryos 14-16 hr OR;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K36me3	Embryos 14-16 hr OR	Karpen, G.	4950
H3K36me3;Oregon-R;Embryos 2-4 hr OR;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K36me3	Embryos 2-4 hr OR	Karpen, G.	932
H3K36me3;Oregon-R;Larvae 3rd instar;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K36me3	Larvae 3rd instar	Karpen, G.	3687
H3K36me3;Oregon-R;Larvae 3rd instar;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K36me3	Larvae 3rd instar	Karpen, G.	4941
H3K36me3;Oregon-R;Tissue:Heads-OR:GK:1;Mixed Adult;Heads OR;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K36me3	Mixed Adult	Karpen, G.	5091
H3K36me3;POF mutant;Larvae 3rd instar;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K36me3	Larvae 3rd instar	Karpen, G.	3686
H3K36me3;S2-DRSC;Ab:H3K36me3:KW:1;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	H3K36me3	Late Embryonic stage	White, K.	3189
H3K36me3;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K36me3	Late Embryonic stage	Karpen, G.	303
H3K36me3;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K36me3	Late Embryonic stage	White, K.	4715
H3K36me3;Su(var) 3-9 06 17 mutant;Larvae 3rd instar;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K36me3	Larvae 3rd instar	Karpen, G.	3888
H3K4me1;3.6;Y cn bw sp;Adult Female;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K4me1	Adult Female	White, K.	787
H3K4me1;37.3;Y cn bw sp;Embryos 20-24 hr;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K4me1	Embryos 20-24 hr	White, K.	782
H3K4me1;Adult Female;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K4me1	Adult Female	White, K.	432
H3K4me1;Adult Male;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K4me1	Adult Male	White, K.	428
H3K4me1;Embryos 0-4 hr;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K4me1	Embryos 0-4 hr	White, K.	423
H3K4me1;Embryos 12-16 hr;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K4me1	Embryos 12-16 hr	White, K.	418
H3K4me1;Embryos 16-20 hr;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K4me1	Embryos 16-20 hr	White, K.	413
H3K4me1;Embryos 20-24 hr;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K4me1	Embryos 20-24 hr	White, K.	408
H3K4me1;Embryos 4-8 hr;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K4me1	Embryos 4-8 hr	White, K.	403
H3K4me1;Embryos 8-12 hr;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K4me1	Embryos 8-12 hr	White, K.	864
H3K4me1;Kc167;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K4me1	Late Embryonic stage	Karpen, G.	5138
H3K4me1;Larvae L3 stage;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K4me1	Larvae L3 stage	White, K.	4986
H3K4me1;ML-DmBG3-c2;Larvae 3rd instar;CNS-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K4me1	Larvae 3rd instar	Karpen, G.	2653
H3K4me1;Oregon-R;Embryos 14-16 hr OR;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K4me1	Embryos 14-16 hr OR	Karpen, G.	4121
H3K4me1;Oregon-R;Embryos 14-16 hr OR;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K4me1	Embryos 14-16 hr OR	Karpen, G.	5092
H3K4me1;Oregon-R;Embryos 2-4 hr OR;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K4me1	Embryos 2-4 hr OR	Karpen, G.	5137
H3K4me1;Oregon-R;Larvae 3rd instar;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K4me1	Larvae 3rd instar	Karpen, G.	5093
H3K4me1;Oregon-R;Tissue:Heads-OR:GK:1;Mixed Adult;Heads OR;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K4me1	Mixed Adult	Karpen, G.	5094
H3K4me1;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K4me1	Late Embryonic stage	Karpen, G.	304
H3K4me1;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K4me1	Late Embryonic stage	Karpen, G.	3760
H3K4me1;Y cn bw sp;Adult Male;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K4me1	Adult Male	White, K.	788
H3K4me1;Y cn bw sp;Embryos 0-4 hr;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K4me1	Embryos 0-4 hr	White, K.	777
H3K4me1;Y cn bw sp;Embryos 12-16 hr;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K4me1	Embryos 12-16 hr	White, K.	780
H3K4me1;Y cn bw sp;Embryos 16-20 hr;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K4me1	Embryos 16-20 hr	White, K.	781
H3K4me1;Y cn bw sp;Embryos 4-8 hr;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K4me1	Embryos 4-8 hr	White, K.	778
H3K4me1;Y cn bw sp;Embryos 8-12 hr;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K4me1	Embryos 8-12 hr	White, K.	779
H3K4me1;Y cn bw sp;Larvae L1 stage;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K4me1	Larvae L1 stage	White, K.	398
H3K4me1;Y cn bw sp;Larvae L1 stage;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K4me1	Larvae L1 stage	White, K.	783
H3K4me1;Y cn bw sp;Larvae L2 stage;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K4me1	Larvae L2 stage	White, K.	393
H3K4me1;Y cn bw sp;Larvae L2 stage;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K4me1	Larvae L2 stage	White, K.	784
H3K4me1;Y cn bw sp;Larvae L3 stage;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K4me1	Larvae L3 stage	White, K.	388
H3K4me1;Y cn bw sp;Larvae L3 stage;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K4me1	Larvae L3 stage	White, K.	785
H3K4me1;Y cn bw sp;Pupae;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K4me1	Pupae	White, K.	383
H3K4me1;Y cn bw sp;Pupae;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K4me1	Pupae	White, K.	786
H3K4me2;Kc167;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K4me2	Late Embryonic stage	Karpen, G.	4935
H3K4me2;ML-DmBG3-c2;Larvae 3rd instar;CNS-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K4me2	Larvae 3rd instar	Karpen, G.	2654
H3K4me2;Oregon-R;Embryos 14-16 hr OR;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K4me2	Embryos 14-16 hr OR	Karpen, G.	2656
H3K4me2;Oregon-R;Embryos 2-4 hr OR;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K4me2	Embryos 2-4 hr OR	Karpen, G.	5139
H3K4me2;Oregon-R;Larvae 3rd instar;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K4me2	Larvae 3rd instar	Karpen, G.	2657
H3K4me2;Oregon-R;Larvae 3rd instar;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K4me2	Larvae 3rd instar	Karpen, G.	3688
H3K4me2;Oregon-R;Larvae 3rd instar;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K4me2	Larvae 3rd instar	Karpen, G.	3689
H3K4me2;Oregon-R;Larvae 3rd instar;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K4me2	Larvae 3rd instar	Karpen, G.	4959
H3K4me2;Oregon-R;Tissue:Heads-OR:GK:1;Mixed Adult;Heads OR;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K4me2	Mixed Adult	Karpen, G.	954
H3K4me2;Oregon-R;Tissue:Heads-OR:GK:1;Mixed Adult;Heads OR;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K4me2	Mixed Adult	Karpen, G.	5095
H3K4me2;Oregon-R;Tissue:Ovary:GK:1;Adult Female;Ovary;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K4me2	Adult Female	Karpen, G.	4125
H3K4me2;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K4me2	Late Embryonic stage	Karpen, G.	965
H3K4me2;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K4me2	Late Embryonic stage	Karpen, G.	2655
H3K4me2;Su(var)3-9 mutant;Larvae 3rd instar;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K4me2	Larvae 3rd instar	Karpen, G.	3690
H3K4me3;Adult Female;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K4me3	Adult Female	White, K.	431
H3K4me3;Adult Male;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K4me3	Adult Male	White, K.	427
H3K4me3;CG8573-RNAi;ML-DmBG3-c2;Larvae 3rd instar;CNS-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	H3K4me3	Larvae 3rd instar	Karpen, G.	3691
H3K4me3;CG8591-RNAi;ML-DmBG3-c2;Larvae 3rd instar;CNS-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	H3K4me3	Larvae 3rd instar	Karpen, G.	3537
H3K4me3;CG8591-RNAi;ML-DmBG3-c2;Larvae 3rd instar;CNS-derived cell-line;integrated-gene-model	D. melanogaster	integrated-gene-model	Non TF Chromatin binding factor	H3K4me3	Larvae 3rd instar	Karpen, G.	3583
H3K4me3;Embryos 0-12 hr;Embryo;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K4me3	Embryos 0-12 hr	White, K.	622
H3K4me3;Embryos 0-4 hr;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K4me3	Embryos 0-4 hr	White, K.	771
H3K4me3;Embryos 12-16 hr;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K4me3	Embryos 12-16 hr	White, K.	417
H3K4me3;Embryos 16-20 hr;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K4me3	Embryos 16-20 hr	White, K.	412
H3K4me3;Embryos 20-24 hr;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K4me3	Embryos 20-24 hr	White, K.	407
H3K4me3;Embryos 4-8 hr;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K4me3	Embryos 4-8 hr	White, K.	402
H3K4me3;Embryos 8-12 hr;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K4me3	Embryos 8-12 hr	White, K.	865
H3K4me3;Embryos 8-16 hr;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K4me3	Embryos 8-16 hr	White, K.	4987
H3K4me3;Kc167;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K4me3	Late Embryonic stage	White, K.andKarpen, G.	912
H3K4me3;Kc167;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K4me3	Late Embryonic stage	White, K.andKarpen, G.	5141
H3K4me3;Kc167;Late Embryonic stage;Embryo-derived cell-line;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K4me3	Late Embryonic stage	White, K.	3244
H3K4me3;Larvae L1 stage;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K4me3	Larvae L1 stage	White, K.	397
H3K4me3;Larvae L2 stage;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K4me3	Larvae L2 stage	White, K.	392
H3K4me3;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K4me3	Late Embryonic stage	Karpen, G.	305
H3K4me3;ML-DmBG3-c2;Larvae 3rd instar;CNS-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K4me3	Larvae 3rd instar	Karpen, G.	967
H3K4me3;Oregon-R;Embryos 14-16 hr OR;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K4me3	Embryos 14-16 hr OR	Karpen, G.	5096
H3K4me3;Oregon-R;Embryos 2-4 hr OR;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K4me3	Embryos 2-4 hr OR	Karpen, G.	966
H3K4me3;Oregon-R;Embryos 2-4 hr OR;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K4me3	Embryos 2-4 hr OR	Karpen, G.	5140
H3K4me3;Oregon-R;Larvae 3rd instar;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K4me3	Larvae 3rd instar	Karpen, G.	5097
H3K4me3;Oregon-R;Tissue:Heads-OR:GK:1;Mixed Adult;Heads OR;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K4me3	Mixed Adult	Karpen, G.	5098
H3K4me3;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K4me3	Late Embryonic stage	White, K.andKarpen, G.	914
H3K4me3;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K4me3	Late Embryonic stage	White, K.andKarpen, G.	3761
H3K4me3;White prepupae (WPP);ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K4me3	White prepupae (WPP)	White, K.	4117
H3K4me3;Y cn bw sp;Adult Female;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K4me3	Adult Female	White, K.	799
H3K4me3;Y cn bw sp;Adult Male;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K4me3	Adult Male	White, K.	800
H3K4me3;Y cn bw sp;Embryos 0-4 hr;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K4me3	Embryos 0-4 hr	White, K.	422
H3K4me3;Y cn bw sp;Embryos 0-4 hr;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K4me3	Embryos 0-4 hr	White, K.	789
H3K4me3;Y cn bw sp;Embryos 12-16 hr;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K4me3	Embryos 12-16 hr	White, K.	792
H3K4me3;Y cn bw sp;Embryos 16-20 hr;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K4me3	Embryos 16-20 hr	White, K.	793
H3K4me3;Y cn bw sp;Embryos 20-24 hr;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K4me3	Embryos 20-24 hr	White, K.	794
H3K4me3;Y cn bw sp;Embryos 4-8 hr;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K4me3	Embryos 4-8 hr	White, K.	790
H3K4me3;Y cn bw sp;Embryos 8-12 hr;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K4me3	Embryos 8-12 hr	White, K.	791
H3K4me3;Y cn bw sp;Larvae L1 stage;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K4me3	Larvae L1 stage	White, K.	795
H3K4me3;Y cn bw sp;Larvae L2 stage;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K4me3	Larvae L2 stage	White, K.	796
H3K4me3;Y cn bw sp;Larvae L3 stage;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K4me3	Larvae L3 stage	White, K.	387
H3K4me3;Y cn bw sp;Larvae L3 stage;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K4me3	Larvae L3 stage	White, K.	797
H3K4me3;Y cn bw sp;Pupae;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K4me3	Pupae	White, K.	382
H3K4me3;Y cn bw sp;Pupae;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K4me3	Pupae	White, K.	798
H3K79me1;ML-DmBG3-c2;Larvae 3rd instar;CNS-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K79me1	Larvae 3rd instar	Karpen, G.	3005
H3K79me1;Oregon-R;Embryos 14-16 hr OR;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K79me1	Embryos 14-16 hr OR	Karpen, G.	4122
H3K79me1;Oregon-R;Embryos 2-4 hr OR;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K79me1	Embryos 2-4 hr OR	Karpen, G.	5142
H3K79me1;Oregon-R;Larvae 3rd instar;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K79me1	Larvae 3rd instar	Karpen, G.	5099
H3K79me1;Oregon-R;Tissue:Heads-OR:GK:1;Mixed Adult;Heads OR;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K79me1	Mixed Adult	Karpen, G.	5584
H3K79me1;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K79me1	Late Embryonic stage	Karpen, G.	963
H3K79me1;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K79me1	Late Embryonic stage	Karpen, G.	2658
H3K79me1;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K79me1	Late Embryonic stage	Karpen, G.	3762
H3K79me2;ML-DmBG3-c2;Larvae 3rd instar;CNS-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K79me2	Larvae 3rd instar	Karpen, G.	306
H3K79me2;Oregon-R;Embryos 14-16 hr OR;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K79me2	Embryos 14-16 hr OR	Karpen, G.	4945
H3K79me2;Oregon-R;Embryos 2-4 hr OR;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K79me2	Embryos 2-4 hr OR	Karpen, G.	4955
H3K79me2;Oregon-R;Larvae 3rd instar;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K79me2	Larvae 3rd instar	Karpen, G.	5100
H3K79me2;Oregon-R;Tissue:Heads-OR:GK:1;Mixed Adult;Heads OR;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K79me2	Mixed Adult	Karpen, G.	5585
H3K79me2;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K79me2	Late Embryonic stage	Karpen, G.	307
H3K79me2;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K79me2	Late Embryonic stage	Karpen, G.	3763
H3K79me3;Kc167;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K79me3	Late Embryonic stage	Karpen, G.	4947
H3K79me3;ML-DmBG3-c2;Larvae 3rd instar;CNS-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K79me3	Larvae 3rd instar	Karpen, G.	4197
H3K79me3;ML-DmBG3-c2;Larvae 3rd instar;CNS-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K79me3	Larvae 3rd instar	Karpen, G.	4934
H3K79me3;Oregon-R;Embryos 14-16 hr OR;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K79me3	Embryos 14-16 hr OR	Karpen, G.	5589
H3K79me3;Oregon-R;Embryos 2-4 hr OR;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K79me3	Embryos 2-4 hr OR	Karpen, G.	4956
H3K79me3;Oregon-R;Larvae 3rd instar;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K79me3	Larvae 3rd instar	Karpen, G.	5101
H3K79me3;Oregon-R;Tissue:Heads-OR:GK:1;Mixed Adult;Heads OR;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K79me3	Mixed Adult	Karpen, G.	5586
H3K79me3;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K79me3	Late Embryonic stage	Karpen, G.	5143
H3K9ac;36.6;Y cn bw sp;Embryos 12-16 hr;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K9ac	Embryos 12-16 hr	White, K.	824
H3K9ac;5.3;Y cn bw sp;Adult Female;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K9ac	Adult Female	White, K.	831
H3K9ac;Adult Female;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K9ac	Adult Female	White, K.	430
H3K9ac;Adult Male;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K9ac	Adult Male	White, K.	426
H3K9ac;Adult Male;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K9ac	Adult Male	White, K.	871
